地名,センター,燃えないごみ,雑かみ・雑誌,新聞紙,段ボール・牛乳パック,燃やせるごみ,資源びん,ペットボトル
扇町１丁目,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
扇町２丁目,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
上町,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
本町,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
鹿島町,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
矢板,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
富田（ＪＲ西側）,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
下太田,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
荒井,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
針生（ＪＲ西側）,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
中（ＪＲ西側）,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
泉,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
上太田,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
東泉,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
長井,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
立足,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
平野,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
下伊佐野,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
上伊佐野,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
田野原,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
第１農場,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
第２農場,泉地区＋矢板A地区,月2 月4,木1 木3,木2,木4,火 金,月1,月3
末広町,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
東町,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
早川町,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
富田（JR東側）,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
木幡東,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
木幡西,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
川崎反町,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
境林,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
舘ノ川,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
合会,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
高塩,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
倉掛,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
片俣,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
塩田,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
幸岡,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
針生（JR東側）,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
土屋,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
中（JR東側）,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
ハッピー団地,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
ロビンシティ,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
沢,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
成田,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
豊田,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
山田,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
上安沢,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
中安沢,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
下、山根,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
本田坪,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
東安沢,矢板B地区＋安沢地区,火2 火4,水1 水3,水2,水4,月 木,火1,火3
通岡,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
前岡,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
後岡,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
梶ヶ沢,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
越畑,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
東乙畑,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
西乙畑,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
つつじが丘,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
白栗,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
上大槻,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
下大槻,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
石関,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
玉田,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
山苗代,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
片岡一区,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
片岡南,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
片岡二区,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
片岡三区,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
片岡四区,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
コリーナ矢板,片岡地区,水2 水4,金1 金3,金2,金4,水 土,水1,水3
高原,高原地区,金2,金2,金2,金2,水,金2,金2
寺山,高原地区,金2,金2,金2,金2,水,金2,金2
